[24, 31, 59, 78, 91, 97]
[8, 16, 40, 42, 78, 130]
[36, 38, 70, 78, 113, 130]
[29, 50, 54, 58, 75, 113]
[25, 40, 54, 58, 75, 113]
[29, 75, 142, 151, 156, 159]
[5, 75, 142, 151, 156, 159]
[11, 75, 95, 113, 131, 151]
[11, 68, 87, 113, 147, 151]
[11, 66, 87, 113, 147, 151]
[11, 87, 113, 131, 147, 151]
[68, 87, 113, 131, 147, 151]
[37, 38, 78, 113, 147, 161]
[38, 78, 113, 147, 157, 161]
[38, 78, 113, 147, 152, 161]
[38, 78, 113, 137, 147, 161]
[37, 38, 78, 87, 113, 147]
[11, 38, 78, 87, 113, 147]
[37, 38, 78, 113, 147, 157]
[38, 78, 87, 113, 147, 152]
[3, 41, 48, 69, 96, 134]
[3, 41, 48, 69, 134, 142]
[47, 48, 69, 79, 84, 134]
[77, 79, 84, 117, 120, 135]
[44, 79, 84, 117, 120, 135]
[44, 67, 79, 84, 120, 135]
[49, 77, 79, 84, 85, 107]
[77, 79, 84, 98, 117, 135]
[79, 84, 98, 117, 120, 135]
[1, 9, 33, 64, 84, 98]
[3, 6, 19, 146, 159, 163]
[33, 42, 43, 62, 127, 163]
[31, 42, 43, 62, 127, 163]
[42, 43, 81, 127, 160, 163]
[22, 42, 57, 81, 115, 125]
[22, 39, 57, 81, 125, 128]
[22, 31, 39, 48, 67, 163]
[22, 27, 60, 67, 99, 141]
[14, 20, 22, 62, 120, 141]
[14, 22, 60, 93, 99, 141]
[12, 14, 22, 93, 99, 141]
[26, 37, 52, 83, 113, 118]
[12, 26, 62, 83, 113, 162]
[26, 62, 83, 113, 155, 162]
[26, 83, 113, 152, 155, 162]
[83, 100, 113, 152, 155, 162]
[10, 83, 100, 113, 155, 162]
[10, 83, 100, 113, 152, 162]
[29, 37, 83, 113, 139, 158]
[7, 19, 66, 113, 139, 160]
[33, 73, 80, 116, 121, 158]
[34, 61, 66, 149, 150, 156]
[17, 18, 80, 116, 121, 158]
[17, 33, 80, 116, 121, 158]
[33, 73, 80, 116, 121, 144]
[17, 33, 80, 116, 121, 144]
