[9, 32, 45, 74, 107, 165]
[1, 9, 32, 74, 107, 165]
[1, 32, 38, 74, 107, 165]
[13, 14, 30, 40, 47, 93]
[1, 9, 19, 32, 74, 107]
[7, 21, 74, 173, 201, 207]
[7, 21, 74, 129, 173, 207]
[7, 21, 51, 114, 129, 173]
[7, 51, 79, 129, 173, 195]
[46, 83, 93, 126, 151, 209]
[13, 40, 83, 93, 141, 209]
[14, 36, 40, 47, 93, 205]
[14, 40, 47, 93, 204, 205]
[2, 14, 47, 93, 204, 205]
[2, 14, 47, 93, 183, 205]
[14, 36, 47, 93, 197, 205]
[14, 40, 47, 93, 198, 205]
[11, 37, 94, 97, 165, 196]
[11, 19, 21, 37, 94, 97]
[24, 37, 94, 97, 165, 196]
[19, 21, 24, 37, 94, 97]
[21, 24, 37, 94, 97, 130]
[4, 21, 24, 37, 94, 97]
[4, 24, 37, 94, 97, 165]
[11, 21, 37, 47, 97, 161]
[11, 37, 97, 165, 189, 196]
[37, 43, 97, 165, 189, 196]
[21, 32, 34, 37, 66, 97]
[21, 34, 37, 66, 97, 161]
[21, 24, 34, 37, 97, 160]
[19, 21, 24, 37, 97, 160]
[18, 97, 160, 190, 205, 206]
[21, 24, 160, 202, 206, 207]
[19, 96, 120, 160, 167, 198]
[37, 102, 120, 160, 171, 203]
[8, 120, 160, 171, 205, 208]
[2, 14, 47, 93, 197, 205]
[36, 93, 192, 197, 205, 208]
[14, 171, 185, 189, 197, 205]
[7, 59, 93, 189, 197, 205]
[7, 19, 59, 93, 189, 205]
[11, 19, 81, 107, 189, 200]
[29, 64, 167, 181, 189, 192]
[11, 19, 172, 189, 192, 200]
[11, 19, 81, 172, 192, 200]
[36, 93, 95, 192, 200, 208]
[36, 95, 164, 192, 200, 208]
[23, 36, 93, 95, 192, 208]
[23, 36, 95, 192, 205, 208]
[2, 95, 96, 112, 183, 197]
[41, 123, 141, 171, 196, 203]
[2, 51, 58, 119, 177, 201]
[7, 8, 51, 119, 129, 197]
[2, 51, 58, 103, 184, 197]
[38, 41, 43, 107, 112, 123]
[38, 43, 107, 121, 123, 165]
[43, 45, 79, 107, 165, 205]
[45, 66, 107, 108, 122, 189]
[45, 66, 108, 122, 181, 189]
[45, 66, 108, 122, 181, 207]
[45, 66, 75, 108, 122, 207]
[45, 66, 75, 103, 108, 207]
[45, 66, 75, 122, 185, 207]
[45, 66, 107, 112, 122, 189]
[45, 66, 107, 112, 169, 189]
[45, 66, 107, 169, 189, 197]
[45, 66, 169, 185, 189, 197]
[45, 66, 107, 112, 169, 197]
[10, 70, 89, 98, 121, 137]
[66, 107, 137, 177, 194, 197]
[46, 59, 121, 137, 197, 199]
[45, 59, 64, 181, 185, 189]
[45, 59, 64, 185, 189, 205]
[45, 59, 181, 185, 189, 197]
[45, 59, 185, 189, 197, 205]
[45, 68, 189, 193, 197, 205]
[32, 50, 92, 101, 112, 181]
[17, 32, 45, 50, 101, 206]
[137, 171, 173, 185, 194, 209]
[85, 92, 101, 159, 169, 183]
[50, 92, 101, 159, 169, 173]
[92, 101, 159, 169, 173, 183]
[0, 15, 59, 85, 177, 200]
[17, 85, 88, 106, 175, 190]
[59, 85, 101, 181, 189, 190]
[59, 85, 114, 185, 186, 205]
[0, 59, 85, 176, 189, 200]
[85, 92, 181, 183, 185, 207]
[0, 59, 85, 114, 150, 181]
[23, 33, 85, 114, 150, 171]
[23, 33, 85, 150, 171, 207]
[17, 23, 33, 85, 150, 207]
[17, 23, 85, 150, 183, 207]
[17, 23, 45, 85, 150, 207]
[0, 17, 45, 85, 150, 207]
[0, 17, 45, 85, 123, 150]
[0, 45, 85, 107, 123, 150]
[0, 85, 107, 114, 123, 150]
[0, 85, 107, 114, 123, 200]
[91, 112, 131, 160, 177, 208]
[91, 160, 177, 202, 206, 207]
[0, 91, 160, 177, 202, 207]
[0, 91, 160, 177, 200, 202]
[91, 139, 160, 177, 200, 202]
[139, 140, 160, 177, 200, 202]
[68, 95, 107, 139, 163, 208]
[68, 95, 139, 163, 187, 208]
[103, 110, 148, 152, 183, 201]
[103, 110, 148, 183, 201, 207]
[85, 103, 110, 148, 183, 207]
[85, 103, 110, 148, 183, 187]
[32, 45, 50, 107, 165, 188]
[32, 92, 99, 121, 143, 158]
[24, 86, 103, 116, 139, 199]
[24, 82, 86, 103, 116, 199]
[63, 68, 73, 121, 194, 208]
[63, 68, 121, 151, 194, 208]
[59, 63, 121, 143, 151, 208]
[59, 63, 110, 121, 143, 151]
[32, 63, 110, 121, 143, 151]
[2, 11, 28, 35, 39, 116]
[2, 11, 25, 28, 39, 116]
[39, 55, 86, 112, 175, 197]
[45, 55, 59, 139, 197, 208]
[72, 89, 155, 183, 190, 203]
[72, 89, 133, 155, 190, 203]
[89, 102, 116, 160, 190, 203]
[17, 85, 106, 116, 160, 190]
[0, 3, 17, 116, 160, 207]
[3, 17, 116, 160, 183, 207]
[3, 95, 101, 160, 183, 205]
[18, 95, 127, 187, 204, 209]
[32, 34, 73, 107, 121, 194]
[3, 59, 73, 118, 140, 177]
[0, 7, 59, 114, 120, 205]
[59, 114, 120, 164, 205, 208]
[68, 78, 118, 120, 149, 168]
[68, 78, 149, 168, 169, 189]
[40, 68, 149, 168, 169, 189]
[25, 43, 46, 107, 121, 165]
[7, 47, 106, 121, 182, 194]
[47, 68, 88, 121, 169, 182]
[3, 120, 162, 164, 187, 209]
