[25, 59, 84, 91, 117, 160]
[15, 39, 80, 114, 141, 160]
[38, 67, 73, 93, 129, 141]
[38, 67, 73, 129, 141, 170]
[38, 67, 73, 93, 129, 170]
[0, 10, 93, 127, 139, 150]
[1, 73, 89, 142, 145, 165]
[1, 73, 98, 142, 145, 165]
[1, 13, 73, 142, 145, 165]
[1, 73, 89, 98, 145, 165]
[1, 13, 73, 89, 145, 165]
[12, 42, 53, 73, 149, 170]
[1, 10, 12, 53, 62, 102]
[1, 10, 12, 53, 62, 93]
[1, 12, 20, 53, 62, 102]
[1, 12, 49, 98, 102, 112]
[1, 10, 12, 49, 98, 102]
[1, 12, 33, 49, 98, 102]
[1, 12, 17, 49, 98, 102]
[1, 12, 49, 98, 102, 140]
[1, 12, 49, 98, 102, 132]
[1, 12, 27, 49, 98, 102]
[1, 10, 12, 27, 49, 98]
[1, 12, 27, 33, 49, 98]
[1, 12, 27, 49, 98, 112]
[1, 51, 94, 141, 150, 167]
[51, 94, 103, 141, 150, 167]
[46, 94, 103, 141, 150, 167]
[1, 94, 103, 141, 150, 167]
[1, 46, 94, 141, 150, 167]
[1, 10, 94, 141, 150, 167]
[0, 1, 36, 94, 150, 167]
[0, 1, 36, 103, 150, 167]
[0, 1, 36, 78, 150, 167]
[0, 1, 36, 65, 150, 167]
[0, 1, 36, 150, 156, 167]
[0, 1, 36, 103, 150, 156]
[0, 1, 36, 65, 150, 156]
[1, 5, 62, 76, 141, 160]
[1, 22, 62, 89, 93, 141]
[1, 22, 51, 62, 89, 141]
[1, 22, 93, 130, 141, 150]
[1, 46, 54, 130, 141, 150]
[1, 46, 54, 62, 130, 141]
[1, 54, 62, 64, 130, 141]
[1, 22, 62, 76, 108, 141]
[19, 23, 43, 68, 88, 96]
[10, 16, 23, 90, 91, 99]
[23, 47, 56, 71, 91, 115]
[23, 47, 56, 60, 91, 115]
[14, 23, 47, 56, 91, 115]
[14, 23, 47, 60, 91, 115]
[14, 23, 56, 60, 91, 115]
[6, 17, 44, 70, 133, 173]
[17, 26, 61, 66, 99, 172]
[40, 65, 68, 77, 107, 134]
[2, 40, 56, 68, 111, 134]
[40, 56, 65, 68, 111, 134]
[26, 40, 56, 68, 111, 134]
[26, 40, 56, 60, 111, 134]
[14, 40, 56, 60, 69, 137]
[14, 15, 46, 56, 93, 124]
[14, 15, 56, 68, 93, 124]
[14, 15, 51, 56, 68, 124]
[14, 15, 56, 68, 81, 124]
[14, 15, 56, 81, 93, 124]
[15, 81, 93, 124, 149, 170]
[70, 81, 87, 93, 120, 149]
[81, 87, 90, 93, 120, 149]
[70, 81, 85, 93, 120, 149]
[6, 19, 70, 81, 93, 123]
[19, 59, 70, 81, 93, 123]
[8, 16, 20, 71, 126, 144]
[50, 113, 138, 154, 158, 168]
[50, 113, 132, 138, 154, 158]
[48, 50, 51, 132, 154, 158]
[48, 50, 117, 132, 154, 155]
[48, 117, 132, 154, 155, 167]
[1, 19, 48, 74, 132, 140]
[19, 48, 62, 74, 132, 140]
[1, 19, 28, 48, 65, 74]
[1, 19, 48, 62, 65, 74]
[19, 32, 48, 65, 74, 159]
[19, 28, 35, 48, 65, 74]
[27, 30, 34, 107, 139, 165]
[27, 34, 107, 139, 165, 173]
[13, 16, 27, 35, 86, 170]
[2, 27, 153, 167, 170, 172]
[16, 27, 93, 96, 107, 163]
[16, 27, 71, 75, 112, 126]
[27, 71, 75, 112, 126, 159]
[16, 27, 71, 112, 126, 144]
[27, 30, 71, 144, 171, 173]
[27, 30, 71, 165, 171, 173]
[6, 50, 83, 112, 117, 145]
[6, 17, 19, 42, 88, 117]
[42, 54, 88, 96, 129, 136]
[17, 41, 42, 88, 129, 164]
[17, 41, 42, 125, 129, 164]
[41, 42, 65, 125, 129, 164]
[41, 42, 96, 125, 129, 164]
[42, 96, 114, 125, 129, 136]
[65, 66, 72, 95, 129, 173]
[65, 66, 95, 129, 164, 173]
[66, 81, 95, 129, 130, 164]
[66, 81, 129, 130, 151, 164]
[66, 129, 130, 151, 159, 164]
[66, 78, 130, 151, 159, 164]
[129, 130, 139, 151, 159, 164]
[65, 95, 129, 139, 164, 173]
[28, 75, 127, 155, 157, 173]
[28, 75, 110, 127, 155, 173]
[3, 8, 71, 75, 127, 173]
[3, 8, 71, 75, 101, 127]
[3, 8, 71, 75, 127, 155]
[3, 71, 75, 101, 127, 155]
[32, 76, 85, 104, 144, 171]
[52, 61, 85, 110, 125, 171]
[32, 85, 104, 125, 144, 171]
[32, 76, 85, 104, 131, 171]
[32, 85, 104, 139, 144, 171]
[32, 85, 104, 131, 139, 171]
[32, 76, 85, 131, 157, 171]
[32, 60, 76, 85, 144, 171]
[32, 60, 76, 85, 131, 171]
[32, 60, 85, 131, 157, 171]
[32, 60, 76, 85, 131, 157]
[32, 60, 76, 85, 157, 171]
[32, 60, 76, 131, 157, 171]
[60, 76, 85, 131, 157, 171]
[60, 85, 131, 157, 171, 173]
[60, 76, 85, 147, 157, 171]
[60, 76, 85, 144, 147, 171]
[30, 32, 76, 157, 165, 171]
[9, 14, 33, 69, 124, 150]
[9, 14, 69, 124, 148, 150]
[9, 94, 124, 150, 162, 167]
[9, 94, 124, 148, 150, 162]
[9, 33, 94, 124, 150, 162]
[9, 14, 94, 124, 150, 162]
[9, 33, 124, 148, 150, 162]
[9, 14, 124, 148, 150, 162]
[9, 14, 68, 124, 150, 162]
[9, 83, 123, 135, 166, 167]
[9, 83, 135, 142, 166, 167]
[7, 65, 137, 153, 161, 167]
[0, 76, 92, 112, 146, 159]
[0, 76, 131, 146, 148, 159]
[0, 76, 112, 146, 148, 159]
[76, 116, 131, 146, 148, 174]
[76, 85, 131, 146, 157, 174]
