[17, 22, 42, 46, 77, 101]
[13, 14, 17, 22, 46, 77]
[13, 16, 17, 22, 46, 77]
[15, 21, 25, 60, 65, 68]
[15, 21, 37, 60, 65, 68]
[15, 21, 43, 60, 65, 68]
[21, 25, 43, 60, 65, 68]
[15, 21, 25, 43, 60, 68]
[21, 25, 29, 60, 65, 68]
[15, 25, 45, 60, 65, 68]
[37, 45, 60, 68, 115, 125]
[15, 45, 60, 68, 115, 125]
[15, 37, 60, 68, 115, 125]
[4, 18, 29, 60, 99, 135]
[4, 29, 58, 60, 99, 135]
[25, 29, 60, 65, 68, 76]
[29, 50, 60, 65, 68, 76]
[2, 13, 50, 76, 112, 123]
[7, 16, 19, 105, 127, 134]
[7, 16, 64, 105, 127, 134]
[16, 105, 113, 116, 127, 134]
[16, 105, 116, 128, 132, 134]
[7, 16, 44, 46, 105, 129]
[7, 16, 46, 62, 105, 129]
[7, 16, 30, 44, 105, 129]
[7, 16, 30, 62, 105, 129]
[7, 16, 30, 105, 111, 129]
[6, 24, 38, 112, 118, 121]
[27, 37, 38, 39, 84, 96]
[5, 39, 53, 57, 82, 119]
[15, 41, 45, 57, 118, 119]
[6, 28, 33, 84, 116, 118]
[6, 33, 84, 116, 118, 139]
[6, 33, 113, 116, 118, 139]
[21, 23, 122, 128, 134, 138]
[4, 23, 33, 65, 128, 139]
[4, 29, 33, 65, 128, 139]
[2, 11, 13, 64, 88, 89]
[2, 31, 55, 59, 74, 77]
[13, 33, 46, 59, 74, 77]
[13, 33, 59, 74, 77, 121]
[13, 46, 59, 61, 74, 77]
[29, 33, 55, 77, 113, 115]
[29, 55, 77, 113, 115, 122]
[2, 66, 76, 77, 89, 119]
[2, 66, 76, 77, 119, 138]
[2, 66, 76, 77, 90, 119]
[2, 66, 76, 77, 90, 138]
[21, 22, 76, 77, 89, 120]
[29, 77, 85, 115, 120, 122]
[26, 32, 64, 85, 95, 110]
[21, 38, 81, 96, 122, 132]
[5, 18, 83, 97, 124, 138]
[20, 21, 54, 56, 127, 130]
[28, 33, 56, 91, 99, 136]
[6, 11, 28, 33, 91, 136]
[6, 28, 33, 91, 118, 136]
[20, 21, 63, 76, 128, 138]
[6, 28, 33, 118, 121, 136]
[54, 86, 101, 125, 137, 139]
[28, 60, 105, 108, 127, 136]
[25, 43, 54, 60, 82, 123]
[3, 63, 78, 81, 86, 136]
[16, 60, 64, 105, 127, 134]
[16, 60, 64, 105, 114, 134]
[16, 64, 105, 114, 128, 134]
[16, 63, 64, 105, 114, 128]
[63, 64, 105, 114, 128, 139]
[63, 64, 105, 114, 128, 136]
[64, 105, 114, 128, 134, 139]
[25, 28, 31, 107, 131, 133]
[25, 28, 31, 48, 107, 126]
[25, 28, 31, 107, 112, 131]
[25, 48, 70, 86, 91, 95]
[25, 28, 107, 112, 131, 133]
[28, 107, 112, 127, 131, 133]
[28, 80, 102, 112, 121, 133]
[64, 100, 105, 114, 128, 139]
[16, 46, 64, 105, 114, 128]
[16, 25, 29, 105, 114, 128]
[16, 25, 29, 60, 105, 114]
[9, 29, 82, 105, 114, 119]
[9, 29, 82, 105, 114, 121]
[9, 63, 105, 111, 114, 139]
[9, 105, 111, 114, 119, 121]
[9, 18, 29, 51, 101, 102]
[9, 18, 29, 86, 101, 102]
[9, 18, 29, 51, 102, 138]
[9, 18, 29, 51, 102, 121]
[9, 12, 18, 29, 102, 138]
[9, 18, 29, 40, 102, 121]
[9, 12, 18, 29, 40, 102]
[25, 53, 60, 82, 91, 123]
[1, 10, 17, 53, 64, 81]
[1, 10, 17, 64, 81, 128]
[53, 63, 83, 123, 129, 138]
[0, 19, 65, 83, 129, 138]
[0, 12, 83, 119, 129, 138]
[6, 28, 91, 118, 124, 136]
[28, 33, 91, 118, 124, 136]
[0, 77, 118, 119, 121, 136]
[25, 53, 77, 89, 105, 119]
[25, 76, 77, 95, 119, 128]
[25, 81, 95, 112, 128, 132]
[67, 81, 95, 112, 128, 132]
[0, 19, 95, 104, 134, 138]
[0, 9, 77, 95, 119, 138]
[21, 29, 77, 95, 128, 132]
[0, 9, 77, 80, 119, 137]
[9, 77, 80, 105, 119, 121]
[6, 36, 42, 93, 125, 139]
[53, 63, 64, 105, 114, 139]
[11, 16, 63, 64, 113, 114]
[16, 63, 64, 105, 113, 114]
[16, 63, 64, 113, 114, 132]
[5, 10, 17, 100, 124, 138]
