[54, 61, 73, 105, 114, 133]
[23, 61, 73, 105, 114, 133]
[1, 54, 73, 105, 114, 133]
[4, 23, 53, 62, 105, 133]
[6, 12, 47, 68, 93, 98]
[6, 12, 47, 93, 98, 136]
[6, 11, 17, 19, 33, 136]
[1, 6, 11, 17, 33, 136]
[1, 6, 11, 26, 98, 136]
[1, 11, 14, 40, 43, 133]
[1, 11, 14, 43, 91, 133]
[1, 10, 30, 40, 43, 118]
[1, 10, 30, 43, 51, 118]
[1, 10, 30, 43, 51, 68]
[1, 9, 10, 30, 43, 68]
[1, 9, 13, 30, 43, 68]
[1, 9, 13, 43, 68, 74]
[6, 17, 31, 56, 91, 128]
[1, 11, 17, 43, 91, 133]
[1, 11, 42, 43, 91, 144]
[1, 11, 39, 55, 84, 144]
[1, 11, 39, 44, 55, 84]
[1, 11, 39, 55, 84, 97]
[6, 56, 91, 93, 121, 128]
[6, 49, 91, 103, 121, 128]
[11, 40, 91, 103, 121, 143]
[44, 56, 91, 93, 121, 128]
[18, 29, 49, 91, 97, 103]
[1, 11, 42, 43, 91, 97]
[1, 43, 54, 65, 132, 144]
[0, 1, 43, 54, 65, 132]
[4, 18, 27, 29, 49, 103]
[4, 18, 27, 29, 55, 135]
[4, 8, 18, 27, 55, 135]
[4, 6, 27, 49, 103, 121]
[4, 8, 18, 55, 107, 144]
[18, 33, 56, 62, 117, 134]
[6, 33, 56, 62, 121, 126]
[1, 6, 11, 33, 80, 104]
[1, 6, 11, 33, 55, 104]
[11, 33, 53, 62, 80, 85]
[33, 53, 62, 80, 83, 85]
[11, 62, 76, 80, 95, 123]
[11, 33, 62, 76, 80, 95]
[85, 93, 111, 139, 141, 144]
[1, 67, 84, 85, 122, 144]
[3, 21, 43, 118, 121, 134]
[17, 53, 67, 108, 118, 120]
[40, 43, 53, 110, 121, 133]
[53, 65, 78, 123, 133, 137]
[53, 65, 78, 123, 133, 143]
[16, 53, 65, 82, 121, 137]
[16, 53, 65, 82, 121, 143]
[12, 65, 108, 121, 143, 144]
[12, 65, 99, 108, 143, 144]
[40, 53, 110, 121, 133, 137]
[12, 85, 99, 108, 143, 144]
[12, 85, 99, 112, 143, 144]
[44, 53, 78, 123, 133, 137]
[24, 53, 65, 78, 133, 137]
[23, 53, 65, 108, 143, 144]
[3, 21, 43, 59, 97, 134]
[43, 86, 87, 120, 134, 136]
[0, 10, 65, 100, 129, 143]
[10, 65, 100, 121, 129, 143]
[3, 15, 21, 55, 82, 140]
[35, 90, 123, 129, 131, 144]
[40, 71, 75, 110, 133, 141]
[40, 75, 110, 115, 133, 142]
[36, 40, 82, 89, 111, 138]
[11, 13, 55, 68, 97, 135]
[8, 11, 13, 68, 97, 135]
[8, 11, 27, 55, 97, 135]
[6, 27, 56, 61, 81, 121]
[6, 56, 61, 81, 121, 133]
[13, 15, 22, 61, 73, 140]
[22, 61, 91, 100, 121, 129]
[17, 22, 61, 91, 100, 129]
[22, 90, 110, 129, 131, 144]
[22, 34, 90, 110, 131, 144]
[22, 34, 70, 90, 110, 144]
[22, 110, 121, 129, 131, 144]
[22, 70, 110, 121, 129, 137]
[22, 43, 70, 110, 121, 134]
[22, 70, 110, 113, 141, 144]
[17, 22, 61, 113, 140, 141]
[59, 76, 110, 113, 121, 144]
[59, 76, 110, 113, 121, 133]
[59, 76, 110, 113, 120, 133]
[43, 59, 110, 113, 121, 133]
[17, 43, 101, 132, 133, 139]
[17, 101, 127, 132, 133, 139]
[17, 101, 127, 128, 132, 139]
[17, 43, 101, 128, 132, 139]
[43, 50, 59, 113, 121, 133]
[43, 50, 59, 113, 123, 133]
[17, 90, 101, 132, 133, 139]
[17, 90, 101, 128, 132, 139]
[50, 59, 84, 113, 123, 133]
[50, 59, 84, 113, 121, 133]
[50, 59, 84, 113, 121, 144]
[50, 59, 84, 113, 123, 144]
[59, 84, 110, 113, 121, 144]
[59, 84, 110, 113, 121, 133]
[43, 59, 110, 113, 121, 144]
[43, 50, 59, 113, 121, 144]
[43, 50, 59, 113, 123, 144]
[7, 43, 59, 123, 139, 144]
[7, 43, 123, 132, 139, 144]
[43, 123, 128, 132, 139, 144]
[89, 123, 128, 132, 139, 144]
[89, 108, 123, 128, 139, 144]
[17, 19, 33, 127, 136, 139]
[17, 19, 127, 132, 136, 139]
[17, 19, 43, 132, 136, 139]
[17, 19, 43, 96, 122, 136]
[0, 17, 43, 101, 132, 139]
[0, 17, 43, 101, 128, 139]
[0, 101, 103, 128, 132, 139]
[3, 17, 19, 77, 127, 136]
[23, 27, 55, 73, 108, 138]
[23, 27, 55, 93, 108, 138]
[27, 33, 55, 93, 108, 139]
[23, 27, 33, 55, 93, 108]
[14, 79, 84, 97, 102, 133]
[21, 37, 82, 93, 117, 136]
[21, 37, 52, 82, 91, 93]
[6, 42, 46, 48, 108, 139]
[24, 71, 80, 96, 116, 133]
[24, 42, 71, 96, 116, 133]
[47, 68, 74, 87, 120, 134]
[6, 7, 47, 52, 74, 139]
[6, 47, 52, 74, 93, 139]
[6, 47, 74, 93, 108, 139]
[47, 74, 89, 93, 111, 117]
[6, 47, 59, 123, 133, 139]
[17, 48, 77, 111, 116, 143]
[48, 66, 77, 116, 123, 143]
[48, 116, 123, 127, 133, 139]
[42, 43, 71, 116, 133, 139]
[17, 48, 116, 127, 133, 139]
[48, 61, 116, 127, 133, 139]
[61, 71, 116, 127, 133, 139]
[17, 61, 116, 127, 133, 139]
[14, 33, 50, 55, 94, 117]
[19, 33, 50, 55, 68, 122]
[19, 50, 55, 116, 122, 144]
[19, 21, 50, 55, 115, 116]
[19, 21, 50, 55, 116, 122]
[19, 50, 55, 114, 122, 144]
[35, 76, 121, 128, 132, 144]
[19, 37, 127, 132, 139, 144]
[101, 105, 121, 124, 133, 143]
[50, 105, 121, 124, 143, 144]
[50, 105, 121, 124, 133, 143]
[15, 60, 124, 128, 143, 144]
[34, 45, 48, 82, 96, 99]
[32, 60, 91, 122, 143, 144]
[32, 60, 91, 122, 124, 144]
[17, 26, 52, 124, 133, 143]
[17, 26, 44, 52, 90, 133]
[17, 26, 52, 90, 133, 141]
[17, 26, 52, 133, 138, 141]
[26, 37, 42, 82, 88, 96]
[27, 37, 72, 101, 139, 142]
[19, 34, 90, 132, 139, 144]
[0, 69, 91, 115, 128, 143]
[11, 38, 91, 121, 143, 144]
[89, 91, 125, 128, 139, 144]
[9, 15, 50, 115, 133, 143]
[9, 54, 90, 132, 133, 141]
[9, 54, 90, 132, 141, 144]
[9, 90, 110, 132, 133, 141]
[9, 90, 110, 132, 141, 144]
[91, 125, 127, 128, 139, 144]
[36, 53, 69, 70, 89, 128]
[69, 70, 91, 107, 128, 144]
[3, 13, 26, 94, 97, 135]
[9, 10, 91, 97, 133, 143]
[70, 90, 101, 128, 132, 139]
[0, 35, 100, 128, 132, 139]
[9, 35, 90, 132, 141, 144]
[35, 90, 128, 132, 139, 144]
[15, 36, 106, 135, 140, 143]
[6, 59, 75, 106, 124, 138]
[15, 83, 106, 128, 135, 143]
[29, 106, 110, 120, 126, 133]
[2, 18, 36, 46, 68, 82]
[36, 53, 82, 106, 128, 143]
[2, 82, 94, 103, 116, 143]
[2, 82, 94, 103, 140, 143]
[82, 94, 99, 103, 140, 143]
[20, 82, 94, 99, 103, 143]
[2, 74, 82, 94, 103, 140]
[2, 74, 90, 94, 119, 140]
[32, 45, 88, 90, 117, 130]
[32, 37, 45, 88, 117, 130]
[32, 37, 45, 71, 88, 130]
[32, 37, 42, 45, 71, 88]
[32, 37, 42, 71, 88, 143]
[32, 42, 71, 88, 122, 143]
[32, 40, 71, 88, 122, 143]
[32, 37, 40, 71, 88, 143]
[32, 37, 40, 71, 88, 130]
[32, 37, 40, 57, 71, 88]
[32, 37, 64, 71, 88, 130]
[32, 64, 71, 88, 90, 130]
[32, 45, 71, 88, 90, 130]
[32, 37, 55, 64, 71, 88]
[37, 55, 64, 82, 88, 138]
[55, 64, 82, 88, 94, 138]
[27, 37, 55, 64, 88, 138]
[27, 37, 55, 64, 71, 88]
[27, 37, 64, 71, 88, 110]
[37, 55, 63, 64, 88, 138]
[55, 63, 64, 88, 94, 138]
[27, 37, 55, 64, 108, 138]
[27, 37, 54, 55, 64, 88]
[37, 54, 55, 63, 64, 88]
[32, 37, 45, 67, 88, 117]
[23, 27, 37, 61, 101, 140]
[14, 50, 55, 94, 99, 117]
[15, 27, 55, 64, 88, 138]
[15, 32, 55, 64, 71, 88]
[15, 27, 55, 64, 71, 88]
[15, 27, 64, 71, 88, 110]
[53, 55, 71, 88, 122, 141]
[32, 45, 67, 88, 117, 130]
[32, 37, 45, 67, 117, 130]
[15, 31, 71, 110, 125, 141]
[4, 64, 66, 74, 121, 130]
[15, 44, 61, 71, 128, 130]
[3, 13, 32, 55, 84, 92]
[3, 32, 35, 61, 90, 104]
[33, 44, 54, 55, 68, 104]
[9, 33, 44, 54, 55, 68]
[9, 33, 54, 55, 68, 122]
[9, 23, 33, 44, 55, 68]
[6, 9, 23, 33, 55, 68]
[6, 9, 33, 54, 55, 68]
[6, 9, 33, 50, 55, 68]
[6, 9, 33, 54, 61, 68]
[9, 44, 54, 61, 66, 130]
[9, 31, 61, 71, 122, 141]
[9, 15, 44, 71, 100, 130]
[9, 15, 64, 71, 100, 130]
[9, 15, 61, 71, 100, 130]
[9, 15, 44, 61, 71, 100]
[9, 15, 31, 44, 71, 100]
[15, 44, 71, 100, 128, 130]
[15, 32, 44, 71, 100, 130]
[9, 44, 66, 71, 100, 130]
[9, 23, 33, 44, 68, 100]
[32, 33, 45, 99, 117, 134]
[9, 33, 54, 61, 68, 134]
[27, 33, 44, 49, 54, 61]
[6, 27, 33, 49, 54, 61]
[33, 44, 49, 54, 61, 66]
[49, 54, 61, 66, 81, 116]
[41, 66, 74, 108, 139, 144]
[40, 41, 57, 102, 108, 126]
[49, 54, 61, 81, 83, 116]
[33, 49, 61, 83, 100, 139]
[33, 61, 100, 101, 127, 139]
[0, 40, 41, 102, 108, 126]
[0, 40, 41, 108, 126, 143]
[40, 41, 108, 121, 126, 143]
[33, 44, 45, 108, 121, 126]
[11, 33, 44, 45, 108, 121]
[5, 33, 45, 108, 121, 126]
[5, 41, 45, 108, 121, 126]
[5, 40, 41, 108, 121, 126]
[5, 40, 41, 74, 108, 121]
[5, 40, 74, 108, 121, 130]
[11, 33, 44, 45, 76, 121]
[44, 74, 84, 86, 94, 107]
[74, 84, 86, 94, 107, 138]
[51, 74, 84, 86, 94, 107]
[44, 51, 74, 84, 94, 107]
[20, 33, 58, 76, 83, 99]
[20, 33, 58, 61, 76, 99]
[20, 33, 58, 61, 76, 83]
[20, 58, 61, 76, 83, 99]
[4, 74, 76, 86, 121, 144]
[74, 76, 86, 121, 124, 144]
[45, 76, 86, 121, 124, 144]
[1, 9, 10, 55, 68, 73]
[9, 10, 50, 55, 68, 73]
[85, 86, 132, 139, 141, 144]
[55, 84, 96, 106, 135, 141]
[55, 84, 106, 135, 140, 141]
[84, 96, 106, 110, 135, 141]
[74, 84, 106, 135, 140, 141]
[22, 44, 84, 100, 107, 128]
[6, 83, 100, 107, 128, 139]
[6, 83, 106, 107, 128, 139]
[22, 70, 84, 107, 128, 144]
[22, 61, 92, 109, 116, 144]
[22, 61, 92, 109, 116, 134]
[65, 92, 109, 116, 143, 144]
[20, 75, 83, 106, 109, 143]
[75, 83, 96, 106, 109, 143]
[62, 75, 83, 106, 109, 143]
[62, 75, 83, 99, 140, 143]
[62, 75, 83, 106, 140, 143]
[62, 75, 83, 106, 140, 141]
[6, 62, 75, 83, 106, 109]
[22, 70, 105, 132, 141, 144]
[13, 24, 60, 65, 124, 144]
[53, 55, 106, 139, 141, 144]
[70, 107, 128, 132, 139, 144]
[55, 95, 106, 107, 139, 144]
[60, 66, 91, 127, 139, 144]
[10, 66, 96, 106, 116, 143]
[83, 96, 106, 109, 116, 143]
[62, 83, 106, 109, 116, 143]
[75, 83, 98, 106, 109, 143]
[22, 55, 106, 107, 116, 144]
[22, 55, 106, 109, 116, 144]
[38, 55, 70, 96, 124, 126]
[21, 62, 106, 109, 116, 134]
[21, 62, 75, 83, 99, 140]
[21, 62, 75, 83, 106, 140]
[21, 62, 75, 83, 106, 109]
[20, 21, 75, 83, 106, 109]
[21, 62, 83, 106, 109, 116]
[6, 46, 83, 98, 106, 109]
[39, 46, 55, 79, 96, 109]
[22, 39, 79, 107, 132, 144]
[22, 39, 55, 79, 109, 144]
[38, 55, 79, 96, 124, 126]
[60, 86, 91, 107, 139, 144]
[86, 91, 107, 125, 139, 144]
[86, 91, 109, 125, 131, 144]
[86, 91, 107, 125, 131, 144]
[60, 86, 91, 107, 131, 144]
[46, 55, 79, 84, 96, 124]
[3, 79, 84, 86, 124, 125]
[79, 84, 86, 124, 125, 144]
[79, 84, 86, 125, 141, 144]
[79, 84, 86, 107, 125, 144]
[3, 79, 84, 86, 107, 125]
[79, 84, 86, 96, 102, 107]
[84, 86, 96, 102, 107, 116]
[12, 26, 79, 96, 124, 126]
[10, 11, 55, 88, 96, 117]
[10, 11, 62, 88, 117, 134]
[10, 63, 73, 102, 119, 126]
[10, 11, 23, 112, 125, 137]
[14, 32, 86, 91, 107, 115]
[14, 20, 49, 91, 115, 128]
[14, 20, 91, 115, 128, 143]
[14, 20, 91, 106, 115, 128]
[14, 20, 91, 106, 115, 143]
[32, 59, 71, 96, 106, 124]
[32, 46, 55, 96, 106, 124]
[37, 54, 63, 64, 74, 144]
[37, 54, 55, 63, 64, 144]
[29, 52, 106, 133, 139, 141]
[20, 74, 86, 94, 139, 141]
[63, 74, 84, 86, 94, 138]
[74, 84, 86, 94, 140, 141]
[74, 84, 86, 94, 138, 141]
[3, 63, 74, 84, 86, 94]
[50, 55, 73, 88, 118, 138]
[59, 71, 84, 110, 133, 141]
[59, 71, 75, 110, 133, 141]
[50, 59, 75, 124, 133, 138]
[44, 71, 75, 77, 100, 119]
[9, 59, 71, 88, 110, 141]
[26, 68, 100, 101, 128, 132]
[26, 44, 68, 100, 101, 128]
[26, 83, 100, 128, 129, 143]
[20, 100, 115, 128, 129, 143]
[20, 50, 75, 100, 115, 143]
[26, 81, 101, 124, 128, 143]
[4, 8, 24, 63, 116, 144]
[4, 8, 24, 116, 127, 144]
[4, 24, 26, 47, 63, 137]
[8, 24, 77, 116, 127, 144]
[43, 68, 101, 116, 119, 134]
[0, 100, 101, 103, 128, 139]
[23, 37, 55, 58, 108, 138]
[23, 26, 37, 58, 108, 138]
[23, 26, 37, 58, 108, 143]
[6, 23, 26, 100, 108, 138]
[23, 26, 58, 108, 126, 143]
[23, 58, 103, 126, 140, 143]
[6, 23, 26, 60, 108, 138]
[3, 26, 60, 77, 135, 136]
[30, 64, 68, 100, 102, 119]
[30, 34, 64, 68, 102, 119]
[34, 68, 102, 105, 119, 131]
[26, 30, 36, 63, 122, 138]
[15, 70, 110, 113, 141, 144]
[4, 34, 102, 105, 119, 131]
[26, 30, 36, 96, 135, 143]
[26, 30, 96, 135, 136, 141]
[55, 58, 70, 120, 139, 141]
[37, 55, 58, 64, 70, 138]
[37, 55, 58, 70, 96, 138]
[37, 55, 58, 64, 108, 138]
[37, 55, 58, 108, 120, 138]
[35, 37, 61, 92, 131, 134]
[35, 45, 76, 111, 131, 144]
[35, 45, 76, 107, 131, 144]
[23, 35, 76, 107, 132, 144]
[35, 37, 42, 61, 131, 144]
[23, 35, 37, 42, 61, 144]
[23, 35, 37, 42, 43, 144]
[35, 37, 42, 43, 139, 144]
[35, 37, 42, 61, 63, 144]
[11, 42, 43, 91, 109, 144]
[11, 23, 42, 43, 91, 109]
[16, 20, 42, 86, 91, 109]
[54, 63, 86, 125, 131, 144]
[9, 54, 61, 68, 131, 134]
[9, 54, 61, 68, 114, 134]
[47, 54, 61, 68, 114, 134]
[9, 54, 74, 86, 134, 141]
[9, 54, 74, 86, 141, 144]
[6, 64, 66, 74, 82, 94]
[40, 82, 106, 115, 116, 134]
[40, 82, 106, 115, 116, 143]
[82, 106, 115, 116, 120, 134]
[66, 82, 106, 113, 116, 143]
[66, 82, 106, 113, 116, 120]
[66, 106, 113, 116, 143, 144]
[21, 40, 82, 106, 116, 134]
[66, 71, 106, 113, 116, 143]
[23, 62, 82, 99, 140, 143]
[23, 36, 82, 99, 140, 143]
[23, 62, 83, 99, 140, 143]
[62, 82, 94, 99, 140, 143]
[75, 83, 99, 135, 137, 140]
[23, 44, 68, 78, 125, 137]
[3, 24, 79, 97, 124, 130]
[75, 83, 99, 135, 140, 143]
[56, 75, 83, 99, 135, 140]
[56, 62, 75, 83, 99, 140]
[7, 54, 63, 104, 130, 144]
[3, 8, 63, 83, 104, 107]
[4, 8, 63, 104, 107, 144]
[4, 7, 8, 63, 104, 144]
[4, 7, 63, 104, 130, 144]
[4, 7, 79, 86, 141, 144]
[56, 63, 70, 73, 102, 126]
[62, 70, 88, 110, 134, 141]
[70, 88, 110, 120, 134, 141]
[4, 7, 63, 88, 104, 130]
[7, 17, 41, 100, 129, 139]
[1, 17, 91, 100, 127, 139]
[1, 11, 17, 44, 91, 100]
[8, 11, 63, 104, 107, 144]
[4, 7, 88, 104, 105, 130]
[4, 7, 104, 105, 130, 144]
[4, 7, 62, 88, 105, 141]
[4, 7, 62, 88, 105, 130]
[7, 41, 105, 129, 143, 144]
[7, 41, 100, 105, 129, 143]
[2, 7, 41, 105, 143, 144]
[6, 56, 62, 106, 123, 126]
[21, 50, 52, 106, 115, 118]
[6, 17, 52, 91, 100, 139]
[17, 52, 91, 100, 127, 139]
[3, 32, 101, 104, 112, 134]
[3, 77, 104, 112, 134, 136]
[3, 28, 79, 107, 118, 132]
[60, 75, 77, 112, 135, 143]
[60, 75, 77, 112, 135, 142]
[56, 93, 102, 112, 118, 127]
[6, 46, 60, 103, 136, 139]
[6, 49, 60, 103, 128, 139]
[6, 49, 100, 103, 128, 139]
[10, 17, 32, 97, 100, 143]
