[41, 44, 116, 177, 187, 192]
[28, 44, 116, 177, 187, 192]
[16, 64, 78, 85, 102, 139]
[13, 16, 78, 85, 102, 139]
[16, 65, 78, 85, 102, 139]
[48, 65, 78, 85, 102, 139]
[5, 13, 40, 78, 85, 139]
[3, 13, 17, 81, 114, 139]
[14, 48, 62, 90, 108, 114]
[14, 48, 62, 90, 114, 212]
[14, 48, 62, 90, 114, 173]
[48, 62, 90, 114, 173, 212]
[48, 62, 90, 92, 114, 212]
[38, 48, 62, 90, 114, 212]
[48, 62, 90, 114, 171, 212]
[48, 62, 90, 114, 135, 212]
[48, 62, 90, 114, 122, 212]
[48, 62, 90, 114, 134, 212]
[48, 62, 90, 114, 128, 212]
[1, 38, 48, 62, 90, 114]
[1, 48, 62, 90, 114, 171]
[10, 39, 90, 114, 150, 207]
[29, 50, 57, 148, 170, 184]
[15, 29, 39, 55, 57, 60]
[5, 22, 31, 56, 81, 144]
[18, 23, 33, 42, 68, 71]
[30, 33, 68, 171, 207, 216]
[23, 56, 65, 84, 111, 215]
[19, 35, 56, 117, 161, 215]
[35, 56, 111, 117, 161, 215]
[2, 29, 57, 60, 164, 219]
[23, 35, 56, 193, 205, 215]
[18, 29, 52, 60, 112, 210]
[15, 29, 52, 57, 112, 210]
[15, 17, 52, 57, 112, 210]
[16, 54, 84, 209, 210, 213]
[42, 84, 88, 141, 145, 166]
[23, 42, 84, 110, 145, 166]
[23, 56, 84, 110, 205, 215]
[19, 56, 58, 199, 211, 214]
[19, 56, 58, 122, 199, 211]
[7, 19, 58, 122, 199, 211]
[7, 58, 122, 199, 211, 216]
[10, 56, 69, 75, 127, 156]
[16, 83, 101, 132, 201, 218]
[2, 26, 29, 67, 185, 203]
[18, 23, 30, 136, 199, 215]
[51, 57, 136, 171, 183, 215]
[14, 57, 136, 158, 171, 215]
[14, 19, 57, 136, 158, 171]
[7, 41, 67, 122, 156, 203]
[7, 67, 122, 199, 211, 216]
[7, 58, 67, 122, 211, 216]
[7, 58, 67, 122, 199, 216]
[58, 67, 122, 199, 211, 216]
[58, 67, 122, 139, 199, 211]
[26, 58, 67, 122, 199, 211]
[7, 58, 67, 122, 199, 211]
[7, 58, 67, 122, 193, 211]
[58, 67, 122, 139, 193, 211]
[26, 58, 67, 122, 193, 211]
[58, 67, 122, 193, 211, 216]
[15, 60, 68, 180, 184, 214]
[15, 60, 68, 84, 141, 180]
[62, 113, 129, 141, 160, 195]
[58, 68, 107, 113, 181, 199]
[58, 68, 184, 199, 200, 214]
[58, 68, 81, 184, 199, 200]
[81, 183, 184, 199, 210, 215]
[68, 149, 183, 184, 199, 201]
[81, 184, 199, 210, 215, 218]
[58, 68, 81, 184, 185, 199]
[68, 149, 165, 180, 184, 201]
[165, 177, 200, 212, 217, 219]
[24, 55, 58, 200, 212, 217]
[58, 114, 125, 172, 182, 193]
[114, 125, 132, 172, 182, 193]
