[2, 5, 25, 27, 48, 57]
[5, 24, 25, 85, 92, 95]
[12, 18, 55, 56, 61, 62]
[12, 31, 41, 52, 56, 94]
[12, 22, 41, 52, 56, 94]
[20, 31, 42, 43, 78, 94]
[6, 20, 31, 43, 78, 94]
[33, 42, 43, 62, 94, 100]
[12, 13, 31, 33, 67, 94]
[27, 48, 58, 67, 68, 85]
[27, 58, 67, 68, 85, 102]
[5, 27, 58, 67, 68, 85]
[27, 58, 67, 68, 96, 102]
[27, 58, 67, 68, 96, 100]
[7, 51, 62, 79, 97, 102]
[7, 9, 51, 56, 60, 76]
[8, 34, 43, 66, 86, 100]
[4, 11, 43, 53, 72, 81]
[16, 52, 73, 84, 101, 103]
[15, 52, 73, 84, 101, 103]
[15, 52, 58, 73, 84, 101]
[58, 67, 71, 96, 97, 100]
[8, 74, 89, 92, 95, 102]
[8, 43, 74, 89, 92, 102]
[4, 5, 45, 46, 72, 87]
[4, 11, 37, 65, 72, 81]
[37, 58, 65, 70, 71, 94]
[40, 45, 46, 65, 98, 101]
[7, 36, 65, 71, 76, 94]
[22, 31, 46, 61, 74, 79]
[11, 22, 31, 61, 74, 79]
[18, 28, 37, 70, 71, 89]
[18, 28, 37, 71, 76, 89]
[18, 28, 37, 65, 70, 71]
[18, 28, 37, 65, 71, 76]
[0, 28, 37, 65, 70, 71]
[0, 28, 37, 65, 71, 76]
[13, 28, 37, 70, 71, 89]
[13, 28, 37, 51, 70, 89]
[18, 37, 40, 70, 71, 94]
[37, 39, 40, 70, 94, 102]
[13, 31, 35, 63, 67, 71]
[31, 35, 50, 63, 67, 71]
[31, 35, 50, 63, 71, 78]
[31, 35, 46, 50, 71, 78]
[9, 26, 60, 85, 87, 91]
[9, 36, 63, 67, 71, 89]
[6, 19, 27, 38, 98, 100]
[10, 31, 45, 59, 91, 94]
[10, 31, 45, 59, 71, 94]
[7, 10, 26, 62, 71, 94]
[10, 26, 37, 60, 91, 94]
[10, 37, 60, 91, 94, 100]
[10, 23, 37, 60, 91, 94]
[26, 37, 60, 64, 87, 94]
[26, 37, 60, 64, 91, 94]
[10, 26, 37, 60, 64, 94]
[10, 37, 60, 64, 91, 94]
[37, 60, 64, 87, 91, 94]
[26, 37, 60, 64, 87, 91]
[10, 23, 37, 60, 64, 91]
[23, 37, 60, 64, 91, 94]
[10, 23, 37, 60, 64, 94]
[10, 23, 37, 64, 91, 94]
[3, 7, 10, 17, 36, 71]
[3, 17, 25, 26, 68, 71]
[3, 28, 45, 54, 60, 75]
[3, 17, 25, 26, 60, 68]
[25, 36, 68, 86, 88, 101]
[32, 45, 84, 86, 88, 101]
[1, 76, 88, 91, 94, 104]
[1, 61, 76, 88, 91, 104]
[1, 52, 56, 62, 94, 104]
[1, 46, 52, 56, 62, 104]
[1, 21, 46, 48, 62, 93]
[31, 46, 50, 78, 82, 91]
[27, 31, 38, 74, 82, 91]
[36, 43, 73, 74, 83, 94]
[10, 36, 43, 73, 83, 94]
[6, 36, 43, 73, 83, 94]
[6, 43, 78, 83, 94, 102]
[43, 74, 78, 83, 94, 102]
[31, 50, 67, 74, 82, 91]
[39, 74, 82, 87, 97, 102]
[41, 49, 63, 74, 87, 97]
[41, 49, 63, 67, 74, 97]
[12, 41, 49, 67, 74, 97]
[43, 66, 74, 78, 83, 102]
[23, 66, 78, 82, 95, 102]
[66, 74, 78, 82, 95, 102]
[41, 66, 74, 78, 95, 102]
[4, 26, 34, 48, 59, 69]
[4, 5, 34, 69, 82, 87]
[4, 5, 34, 47, 69, 87]
[5, 82, 85, 87, 91, 92]
[5, 65, 70, 90, 92, 94]
[36, 40, 65, 73, 94, 101]
[4, 36, 47, 65, 73, 81]
[82, 85, 90, 92, 98, 102]
[82, 85, 90, 92, 95, 102]
[36, 44, 47, 49, 63, 71]
[28, 34, 44, 66, 98, 100]
[50, 82, 90, 92, 95, 102]
[19, 38, 88, 92, 98, 100]
[19, 27, 38, 92, 98, 100]
[64, 79, 85, 92, 95, 102]
[64, 84, 85, 92, 95, 102]
[38, 52, 88, 91, 92, 100]
[6, 38, 39, 43, 92, 100]
[6, 52, 64, 84, 92, 103]
[6, 52, 92, 94, 100, 103]
[6, 52, 64, 92, 94, 103]
[47, 49, 55, 81, 84, 93]
[47, 49, 55, 56, 63, 93]
[12, 42, 62, 72, 85, 102]
[12, 42, 62, 79, 85, 102]
[46, 48, 52, 80, 84, 104]
