[28, 36, 40, 168, 184, 247]
[20, 36, 40, 168, 184, 247]
[27, 55, 162, 191, 230, 247]
[3, 25, 61, 133, 162, 191]
[25, 44, 61, 133, 162, 191]
[46, 61, 166, 168, 230, 255]
[5, 61, 166, 168, 230, 255]
[3, 61, 166, 168, 230, 255]
[55, 61, 166, 168, 230, 255]
[5, 49, 166, 168, 230, 255]
[3, 49, 166, 168, 230, 255]
[17, 101, 102, 168, 240, 244]
[56, 102, 151, 168, 240, 244]
[17, 102, 151, 168, 240, 244]
[102, 154, 168, 184, 208, 215]
[52, 102, 168, 184, 208, 215]
[102, 112, 168, 184, 208, 215]
[73, 102, 168, 184, 208, 215]
[25, 102, 168, 184, 208, 215]
[56, 102, 168, 184, 208, 215]
[73, 102, 154, 168, 184, 208]
[25, 102, 154, 168, 184, 208]
[52, 102, 154, 168, 184, 208]
[42, 168, 230, 233, 253, 255]
[42, 123, 168, 230, 233, 253]
[30, 42, 168, 230, 233, 253]
[81, 168, 230, 233, 253, 255]
[54, 58, 136, 155, 185, 187]
[54, 131, 136, 155, 185, 187]
[18, 51, 85, 90, 117, 136]
[24, 38, 54, 73, 84, 180]
[38, 54, 73, 84, 120, 180]
[38, 54, 69, 73, 120, 180]
[7, 38, 45, 92, 113, 180]
[16, 18, 33, 37, 58, 131]
[16, 37, 63, 69, 114, 131]
[16, 18, 37, 114, 131, 157]
[16, 37, 63, 114, 131, 157]
[16, 37, 62, 114, 131, 157]
[16, 37, 70, 76, 131, 157]
[35, 52, 120, 121, 205, 209]
[13, 114, 182, 205, 209, 257]
[54, 59, 77, 172, 220, 239]
[54, 59, 77, 97, 220, 251]
[59, 74, 77, 97, 220, 251]
[35, 59, 97, 110, 220, 251]
[35, 54, 59, 97, 110, 251]
[14, 35, 49, 110, 169, 251]
[14, 49, 78, 110, 169, 251]
[50, 76, 96, 128, 176, 236]
[1, 9, 24, 93, 107, 147]
[1, 9, 24, 50, 93, 147]
[1, 9, 24, 50, 67, 93]
[51, 64, 76, 117, 157, 188]
[34, 51, 64, 117, 157, 188]
[4, 34, 51, 76, 157, 165]
[34, 51, 76, 107, 157, 165]
[34, 51, 76, 157, 165, 247]
[34, 51, 76, 107, 157, 247]
[34, 51, 76, 95, 107, 157]
[34, 97, 108, 114, 157, 178]
[54, 97, 114, 156, 161, 193]
[30, 54, 97, 114, 156, 161]
[54, 97, 114, 156, 161, 251]
[30, 54, 97, 156, 161, 251]
[13, 97, 114, 161, 163, 195]
[97, 114, 134, 161, 163, 195]
[7, 13, 97, 114, 161, 195]
[97, 107, 125, 174, 192, 251]
[39, 80, 124, 152, 172, 237]
[31, 39, 80, 124, 152, 237]
[25, 74, 82, 123, 128, 137]
[82, 123, 128, 163, 243, 252]
[41, 82, 114, 124, 228, 259]
[12, 161, 163, 170, 225, 229]
[12, 163, 170, 182, 225, 229]
[17, 18, 116, 131, 164, 240]
[26, 74, 155, 171, 182, 240]
[67, 106, 155, 171, 182, 239]
[67, 106, 171, 182, 229, 237]
[67, 171, 182, 229, 231, 237]
[67, 155, 171, 182, 229, 237]
[50, 53, 67, 92, 124, 237]
[50, 53, 92, 124, 184, 237]
[50, 92, 113, 155, 182, 237]
[50, 92, 113, 182, 231, 237]
[24, 50, 92, 113, 182, 237]
[24, 50, 92, 113, 155, 237]
[50, 92, 113, 124, 206, 236]
[24, 50, 92, 113, 150, 237]
[9, 50, 92, 124, 134, 236]
[9, 50, 53, 92, 124, 134]
[9, 50, 77, 92, 124, 134]
[9, 50, 77, 92, 124, 184]
[9, 77, 124, 155, 167, 239]
[9, 68, 88, 114, 155, 236]
[9, 114, 123, 155, 228, 240]
[35, 123, 169, 224, 240, 251]
[35, 123, 169, 240, 251, 252]
[35, 123, 169, 224, 231, 251]
[52, 90, 108, 193, 241, 255]
[52, 90, 108, 158, 193, 255]
[52, 108, 153, 173, 193, 241]
[20, 32, 68, 101, 184, 208]
[20, 67, 72, 101, 120, 148]
[21, 149, 219, 228, 230, 234]
[21, 149, 228, 230, 234, 259]
[21, 135, 149, 230, 234, 259]
[58, 101, 135, 188, 230, 256]
[58, 136, 188, 219, 230, 256]
[58, 136, 176, 188, 230, 256]
[3, 19, 173, 176, 230, 253]
[5, 24, 42, 50, 233, 238]
[5, 42, 50, 175, 233, 238]
[5, 42, 50, 134, 233, 258]
[5, 42, 63, 134, 233, 258]
[5, 42, 63, 125, 164, 258]
[42, 121, 160, 164, 175, 201]
[42, 60, 65, 121, 194, 256]
[53, 65, 99, 121, 153, 252]
[74, 84, 99, 176, 241, 256]
[65, 159, 180, 183, 194, 222]
[10, 65, 83, 162, 218, 256]
[10, 65, 83, 151, 162, 218]
[10, 83, 151, 162, 218, 219]
[65, 83, 100, 151, 159, 190]
[83, 100, 151, 159, 190, 242]
[63, 100, 111, 151, 170, 195]
[63, 147, 170, 195, 199, 254]
[63, 85, 125, 144, 195, 244]
[65, 85, 144, 162, 195, 256]
[10, 29, 62, 71, 251, 256]
[10, 29, 62, 71, 251, 257]
[10, 29, 62, 71, 222, 251]
[29, 62, 71, 222, 251, 257]
[25, 88, 115, 123, 158, 247]
[67, 115, 125, 158, 193, 218]
[69, 207, 212, 213, 252, 254]
[69, 72, 123, 210, 212, 257]
[53, 67, 94, 98, 195, 252]
[10, 53, 94, 98, 199, 250]
[10, 53, 65, 94, 170, 199]
[44, 67, 94, 130, 195, 256]
[44, 94, 122, 130, 195, 256]
[44, 94, 122, 135, 169, 256]
[51, 136, 155, 171, 187, 240]
[51, 81, 155, 171, 187, 240]
[90, 139, 175, 179, 228, 232]
[75, 144, 204, 205, 208, 257]
[52, 144, 204, 205, 208, 257]
[6, 10, 41, 187, 217, 245]
[10, 41, 63, 244, 245, 251]
[10, 98, 224, 230, 244, 251]
[10, 98, 224, 230, 244, 248]
[10, 20, 114, 127, 138, 251]
[1, 63, 118, 208, 239, 245]
[52, 144, 162, 204, 208, 257]
[89, 103, 162, 212, 227, 256]
[10, 181, 202, 248, 251, 256]
[19, 70, 102, 113, 223, 239]
[33, 102, 177, 212, 239, 245]
[19, 102, 113, 223, 239, 243]
[19, 52, 102, 113, 162, 243]
[19, 52, 102, 162, 243, 257]
[6, 10, 19, 113, 239, 243]
[6, 10, 19, 113, 141, 239]
[20, 29, 222, 248, 249, 251]
[29, 75, 181, 222, 251, 257]
[29, 75, 222, 236, 251, 257]
[113, 178, 207, 243, 258, 259]
[113, 162, 178, 207, 243, 258]
[113, 178, 207, 231, 243, 259]
[126, 181, 191, 212, 254, 256]
[20, 126, 154, 207, 231, 254]
[20, 126, 154, 207, 231, 251]
[75, 144, 154, 158, 162, 191]
[39, 75, 144, 154, 222, 226]
[23, 39, 75, 181, 222, 226]
[23, 39, 181, 222, 225, 226]
[23, 181, 222, 225, 226, 251]
[23, 75, 181, 222, 226, 251]
[39, 118, 144, 222, 226, 249]
[39, 144, 154, 222, 226, 249]
[126, 144, 154, 191, 226, 249]
[126, 144, 154, 158, 191, 249]
[126, 143, 144, 154, 158, 244]
[126, 144, 154, 155, 191, 249]
[118, 231, 236, 243, 252, 259]
[99, 126, 144, 158, 191, 255]
[99, 126, 158, 191, 249, 255]
[9, 99, 126, 158, 191, 255]
[1, 9, 99, 126, 191, 239]
[1, 99, 126, 155, 191, 239]
[9, 99, 126, 155, 191, 239]
[9, 99, 126, 191, 232, 239]
[1, 15, 99, 126, 155, 239]
[1, 9, 99, 126, 155, 239]
[1, 9, 99, 155, 191, 239]
[1, 9, 99, 191, 239, 253]
[3, 9, 118, 155, 239, 243]
[3, 6, 9, 225, 239, 243]
[20, 23, 29, 222, 225, 251]
[20, 59, 221, 222, 251, 255]
[15, 20, 59, 221, 222, 255]
[15, 20, 59, 221, 222, 259]
[20, 59, 222, 225, 251, 255]
[6, 20, 59, 222, 225, 255]
[8, 86, 222, 226, 248, 251]
[6, 8, 86, 111, 222, 248]
[9, 75, 76, 111, 232, 242]
[6, 9, 111, 222, 239, 248]
[6, 9, 111, 222, 225, 239]
[6, 9, 225, 239, 243, 245]
[1, 15, 118, 155, 222, 239]
[1, 15, 155, 222, 239, 248]
[1, 15, 59, 222, 239, 248]
[1, 9, 111, 222, 239, 248]
[1, 9, 155, 222, 239, 248]
[1, 9, 118, 155, 222, 239]
[1, 9, 78, 118, 222, 239]
[1, 78, 118, 212, 222, 239]
[1, 78, 126, 212, 238, 239]
[1, 78, 126, 226, 238, 239]
[1, 78, 118, 222, 226, 239]
[1, 78, 126, 149, 238, 239]
[1, 9, 78, 126, 149, 239]
[1, 78, 126, 149, 212, 239]
[15, 25, 78, 89, 196, 223]
[30, 42, 60, 121, 250, 259]
[30, 60, 89, 132, 191, 250]
[78, 164, 186, 196, 235, 257]
[78, 158, 162, 218, 219, 235]
[78, 89, 118, 158, 162, 247]
[78, 109, 118, 199, 239, 243]
[109, 118, 170, 199, 243, 259]
[78, 118, 143, 239, 243, 252]
[78, 143, 163, 239, 243, 252]
[143, 163, 170, 227, 243, 252]
[9, 78, 85, 158, 162, 255]
[9, 78, 118, 158, 162, 255]
[9, 118, 158, 162, 245, 250]
[135, 158, 203, 229, 249, 259]
[9, 20, 37, 60, 78, 163]
[20, 60, 78, 135, 163, 247]
[20, 168, 233, 247, 248, 249]
[20, 78, 163, 164, 186, 247]
[20, 37, 78, 163, 164, 186]
[76, 83, 85, 172, 227, 254]
[80, 83, 85, 172, 227, 254]
[80, 85, 172, 203, 227, 254]
[76, 80, 85, 172, 203, 227]
[30, 80, 85, 172, 203, 227]
[30, 80, 85, 172, 203, 259]
[76, 174, 182, 189, 212, 238]
[76, 174, 182, 189, 212, 233]
[76, 174, 182, 189, 212, 229]
[76, 174, 182, 189, 212, 254]
[174, 182, 186, 189, 212, 229]
[174, 182, 189, 212, 229, 233]
[75, 119, 174, 182, 219, 222]
[75, 119, 148, 174, 182, 222]
[75, 117, 119, 174, 179, 254]
[15, 30, 117, 119, 179, 254]
[15, 30, 117, 119, 154, 179]
[15, 30, 117, 119, 179, 219]
[15, 30, 80, 117, 119, 179]
[30, 117, 119, 154, 179, 254]
[30, 80, 117, 119, 154, 179]
[30, 80, 117, 119, 179, 254]
[30, 117, 119, 178, 179, 254]
[15, 30, 80, 119, 242, 254]
[15, 80, 83, 117, 242, 254]
[15, 80, 83, 117, 154, 254]
[15, 76, 80, 83, 154, 254]
[76, 119, 163, 219, 250, 252]
[76, 119, 163, 229, 250, 252]
[119, 163, 170, 227, 243, 252]
[30, 119, 170, 227, 252, 254]
[30, 80, 85, 119, 227, 254]
[86, 163, 219, 234, 238, 250]
[86, 119, 219, 236, 250, 252]
[86, 119, 170, 227, 252, 254]
[86, 119, 236, 250, 252, 254]
[22, 86, 119, 250, 252, 254]
[22, 86, 119, 227, 252, 254]
[53, 205, 210, 223, 239, 245]
[73, 114, 123, 205, 207, 245]
[16, 114, 123, 205, 207, 245]
[16, 114, 205, 207, 224, 245]
[16, 114, 123, 205, 207, 224]
[30, 118, 205, 207, 252, 254]
[154, 186, 195, 200, 207, 254]
[87, 127, 186, 200, 236, 259]
[37, 87, 145, 193, 200, 214]
[22, 78, 163, 167, 238, 239]
[22, 33, 86, 119, 227, 252]
[22, 86, 119, 163, 227, 252]
[22, 86, 119, 127, 163, 227]
[22, 78, 86, 119, 163, 252]
[22, 33, 78, 86, 119, 252]
[22, 78, 86, 119, 252, 254]
[22, 33, 70, 119, 227, 252]
[16, 127, 133, 224, 248, 251]
[16, 122, 127, 133, 224, 251]
[16, 127, 224, 248, 249, 251]
[22, 45, 86, 127, 163, 227]
[22, 45, 86, 163, 227, 252]
[7, 22, 33, 78, 86, 252]
[7, 22, 33, 78, 239, 252]
[22, 86, 127, 163, 234, 238]
[22, 86, 127, 163, 227, 234]
[86, 127, 131, 227, 234, 240]
[127, 131, 227, 234, 240, 256]
[22, 86, 163, 227, 234, 252]
[33, 131, 171, 178, 240, 258]
[42, 79, 171, 189, 190, 210]
[127, 135, 181, 189, 210, 256]
[14, 38, 116, 125, 179, 202]
[6, 10, 77, 164, 220, 257]
[12, 95, 148, 164, 196, 248]
[12, 16, 104, 179, 245, 249]
[19, 77, 95, 148, 239, 246]
[19, 77, 95, 148, 200, 227]
[19, 77, 89, 95, 195, 200]
[12, 14, 179, 196, 234, 241]
[4, 14, 19, 70, 190, 233]
[4, 12, 14, 19, 70, 113]
[12, 14, 19, 70, 113, 195]
[12, 14, 16, 19, 70, 113]
[12, 14, 70, 113, 179, 195]
[12, 14, 16, 70, 113, 179]
[12, 14, 45, 70, 113, 232]
[4, 12, 14, 70, 113, 232]
[37, 100, 114, 134, 186, 226]
[21, 88, 136, 153, 183, 247]
[21, 88, 136, 144, 153, 183]
[7, 136, 153, 183, 247, 248]
[7, 136, 144, 153, 183, 247]
[88, 114, 136, 153, 183, 247]
[23, 88, 114, 136, 153, 183]
[88, 114, 136, 144, 153, 183]
[88, 114, 153, 183, 200, 247]
[23, 88, 114, 153, 183, 200]
[13, 88, 114, 153, 183, 200]
[114, 153, 183, 200, 233, 247]
[14, 114, 153, 183, 233, 247]
[14, 114, 153, 183, 233, 258]
[16, 19, 70, 118, 171, 249]
[19, 70, 118, 171, 201, 249]
[14, 19, 70, 118, 171, 195]
[12, 70, 179, 234, 249, 259]
[12, 16, 114, 179, 257, 259]
[12, 14, 114, 179, 195, 259]
[12, 14, 16, 114, 179, 259]
[12, 49, 114, 205, 245, 258]
[12, 16, 49, 114, 179, 245]
[12, 49, 114, 148, 245, 258]
[12, 14, 16, 49, 114, 179]
[12, 16, 49, 114, 179, 257]
[12, 15, 16, 49, 114, 179]
[15, 16, 49, 225, 255, 256]
[14, 45, 91, 227, 243, 252]
[12, 14, 16, 19, 49, 217]
[12, 16, 19, 49, 217, 225]
[12, 16, 49, 217, 225, 245]
[16, 49, 217, 225, 255, 256]
[16, 49, 180, 217, 225, 255]
[16, 19, 49, 180, 217, 225]
[16, 49, 180, 217, 225, 245]
[12, 16, 49, 180, 217, 225]
[12, 16, 180, 217, 225, 245]
[10, 49, 77, 120, 121, 179]
[49, 77, 120, 121, 179, 180]
[12, 49, 77, 92, 97, 166]
[13, 49, 92, 127, 166, 168]
[49, 92, 127, 166, 168, 217]
[30, 62, 125, 127, 154, 251]
[92, 120, 145, 217, 221, 235]
[12, 38, 92, 166, 217, 225]
[12, 38, 45, 92, 166, 217]
[12, 38, 45, 92, 166, 225]
[12, 38, 92, 166, 224, 225]
[12, 16, 38, 92, 224, 225]
[12, 16, 38, 92, 180, 224]
[12, 27, 38, 51, 224, 247]
[12, 27, 38, 51, 224, 229]
[12, 27, 38, 194, 224, 247]
[12, 27, 38, 180, 194, 224]
[4, 9, 22, 27, 37, 145]
[4, 9, 22, 27, 135, 145]
[4, 9, 91, 100, 123, 194]
[9, 91, 100, 123, 194, 204]
[20, 35, 221, 224, 229, 250]
[10, 18, 20, 120, 229, 250]
[10, 18, 120, 229, 244, 250]
[10, 18, 94, 120, 229, 250]
[10, 18, 37, 94, 120, 229]
[28, 139, 146, 168, 247, 248]
[28, 139, 146, 168, 232, 248]
[28, 92, 139, 146, 168, 248]
[28, 139, 146, 168, 228, 248]
[28, 139, 146, 168, 244, 248]
[23, 28, 75, 139, 146, 168]
[28, 35, 59, 146, 152, 259]
[28, 75, 139, 146, 168, 232]
[28, 139, 146, 152, 166, 168]
[28, 139, 146, 152, 168, 228]
[23, 28, 139, 146, 152, 168]
[2, 23, 28, 146, 152, 168]
[2, 28, 146, 152, 168, 228]
[2, 28, 136, 146, 152, 168]
[28, 35, 51, 68, 146, 221]
[10, 20, 114, 142, 183, 255]
