[50, 59, 109, 119]
[59, 109, 114, 119]
[59, 90, 109, 119]
[69, 106, 112, 154]
[31, 69, 106, 154]
[44, 69, 106, 154]
[25, 69, 106, 154]
[69, 70, 106, 154]
[4, 69, 106, 154]
[69, 106, 111, 154]
[69, 83, 106, 154]
[51, 69, 106, 154]
[69, 106, 120, 154]
[25, 69, 106, 120]
[39, 69, 106, 120]
[69, 83, 106, 120]
[57, 69, 106, 120]
[31, 69, 72, 106]
[69, 72, 106, 110]
[69, 106, 110, 157]
[69, 95, 106, 157]
[69, 106, 142, 157]
[57, 69, 106, 157]
[6, 69, 106, 157]
[44, 69, 106, 157]
[69, 106, 111, 157]
[31, 69, 106, 157]
[69, 106, 117, 157]
[69, 106, 154, 157]
[37, 69, 106, 157]
[49, 59, 69, 157]
[37, 59, 69, 157]
[50, 59, 69, 157]
[59, 69, 143, 157]
[31, 59, 69, 157]
[59, 69, 154, 157]
[59, 68, 69, 157]
[50, 69, 96, 157]
[50, 69, 95, 157]
[69, 95, 142, 157]
[57, 69, 95, 157]
[57, 69, 96, 157]
[69, 95, 110, 157]
[50, 69, 110, 157]
[31, 69, 142, 157]
[61, 69, 128, 154]
[61, 69, 85, 154]
[21, 31, 69, 105]
[21, 57, 69, 105]
[21, 69, 96, 105]
[21, 69, 95, 105]
[21, 69, 88, 105]
[21, 68, 69, 105]
[21, 69, 74, 105]
[21, 23, 69, 105]
[17, 21, 69, 105]
[21, 44, 69, 105]
[12, 21, 69, 105]
[21, 48, 69, 105]
[21, 69, 102, 105]
[21, 33, 69, 105]
[21, 69, 105, 155]
[21, 69, 105, 115]
[21, 69, 89, 105]
[21, 69, 76, 105]
[21, 51, 69, 105]
[21, 69, 105, 139]
[21, 40, 69, 105]
[2, 21, 69, 105]
[21, 69, 105, 120]
[21, 69, 72, 105]
[21, 69, 105, 131]
[12, 21, 69, 96]
[35, 96, 122, 150]
[35, 96, 127, 150]
[35, 85, 127, 150]
[35, 114, 127, 150]
[35, 54, 127, 150]
[54, 122, 127, 150]
[67, 104, 145, 150]
[67, 104, 145, 153]
[67, 90, 104, 145]
[30, 34, 60, 97]
[30, 60, 97, 104]
[35, 60, 97, 104]
[1, 14, 34, 71]
[5, 14, 34, 71]
[22, 49, 60, 71]
[22, 58, 60, 104]
[22, 58, 104, 121]
[22, 30, 58, 104]
[22, 24, 58, 104]
[22, 58, 77, 104]
[22, 58, 104, 134]
[22, 58, 104, 129]
[22, 46, 58, 104]
[20, 22, 58, 104]
[22, 24, 104, 133]
[22, 77, 104, 133]
[22, 30, 104, 133]
[22, 60, 104, 133]
[22, 104, 129, 133]
[22, 24, 90, 104]
[22, 24, 77, 104]
[34, 72, 86, 126]
[17, 86, 126, 133]
[17, 53, 86, 126]
[17, 86, 122, 126]
[17, 30, 86, 126]
[17, 86, 126, 134]
[17, 86, 126, 129]
[17, 78, 86, 126]
[17, 82, 86, 126]
[17, 86, 126, 158]
[17, 20, 86, 126]
[17, 29, 86, 126]
[17, 53, 86, 133]
[17, 64, 86, 133]
[17, 34, 42, 126]
[17, 104, 126, 133]
[17, 104, 114, 126]
[17, 53, 104, 126]
[17, 42, 108, 126]
[58, 108, 128, 146]
[58, 96, 108, 146]
[58, 64, 108, 146]
[58, 99, 108, 146]
[36, 58, 108, 146]
[17, 96, 108, 146]
[17, 39, 108, 146]
[17, 108, 132, 146]
[17, 64, 108, 146]
[17, 78, 108, 146]
[17, 108, 146, 158]
[17, 29, 108, 146]
[17, 64, 108, 132]
[5, 17, 108, 132]
[17, 30, 108, 132]
[17, 20, 86, 133]
[17, 108, 132, 133]
[17, 108, 129, 132]
[17, 108, 126, 133]
[17, 39, 108, 126]
[17, 108, 114, 126]
[17, 53, 108, 126]
[72, 104, 109, 126]
[104, 117, 150, 156]
[104, 114, 117, 156]
[104, 109, 114, 156]
[104, 109, 122, 156]
[58, 104, 109, 156]
[50, 104, 109, 156]
[45, 98, 125, 132]
[19, 30, 45, 132]
[45, 53, 78, 85]
[45, 78, 85, 114]
[45, 78, 114, 128]
[77, 104, 117, 156]
[74, 78, 117, 156]
[74, 117, 127, 156]
[74, 109, 127, 156]
[5, 74, 109, 156]
[74, 96, 109, 156]
[74, 109, 148, 156]
[50, 74, 109, 156]
[46, 74, 109, 156]
[58, 74, 109, 156]
[14, 74, 109, 156]
[61, 74, 109, 156]
[74, 109, 138, 156]
[74, 109, 112, 156]
[74, 109, 152, 156]
[74, 109, 120, 156]
[40, 74, 109, 156]
[6, 74, 109, 156]
[52, 74, 109, 156]
[32, 74, 109, 156]
[74, 75, 109, 156]
[74, 109, 141, 156]
[74, 105, 109, 156]
[74, 79, 109, 156]
[37, 74, 109, 156]
[23, 74, 109, 156]
[31, 74, 109, 156]
[8, 74, 109, 156]
[5, 28, 109, 156]
[5, 109, 128, 156]
[72, 86, 109, 156]
[27, 86, 109, 156]
[86, 109, 119, 156]
[57, 110, 117, 143]
[57, 90, 110, 117]
[57, 84, 110, 117]
[7, 57, 110, 117]
[57, 69, 110, 117]
[57, 107, 110, 117]
[57, 110, 117, 157]
[16, 57, 110, 117]
[57, 83, 110, 117]
[57, 87, 110, 117]
[57, 110, 117, 148]
[53, 57, 90, 117]
[53, 57, 84, 117]
[53, 57, 117, 143]
[53, 57, 94, 117]
[53, 57, 69, 117]
[57, 90, 117, 143]
[57, 88, 90, 117]
[57, 84, 88, 117]
[7, 57, 84, 117]
[7, 57, 90, 117]
[57, 84, 94, 117]
[57, 90, 94, 117]
[57, 94, 117, 143]
[57, 67, 88, 117]
[57, 67, 90, 117]
[21, 67, 68, 109]
[21, 67, 109, 119]
[12, 67, 107, 109]
[9, 12, 67, 109]
[64, 70, 109, 122]
[70, 84, 109, 122]
[59, 109, 119, 156]
[28, 59, 109, 156]
[59, 109, 128, 156]
[59, 101, 109, 156]
[59, 109, 137, 156]
[59, 109, 114, 156]
[49, 59, 109, 156]
[28, 109, 114, 156]
[109, 114, 128, 156]
[9, 109, 110, 114]
[9, 12, 27, 109]
[12, 27, 109, 128]
[27, 95, 109, 137]
[18, 27, 68, 103]
[18, 27, 68, 118]
[18, 27, 68, 90]
[18, 27, 68, 119]
[27, 68, 90, 118]
[27, 68, 118, 119]
[27, 51, 73, 140]
[27, 51, 128, 140]
[27, 51, 126, 140]
[27, 51, 65, 126]
[27, 51, 126, 131]
[27, 51, 84, 126]
[27, 51, 53, 126]
[27, 51, 140, 144]
[27, 47, 51, 144]
[27, 140, 144, 157]
[27, 113, 144, 157]
[27, 92, 140, 144]
[27, 119, 140, 144]
[27, 38, 140, 144]
[27, 113, 119, 144]
[27, 47, 113, 144]
[27, 38, 47, 144]
[27, 114, 119, 144]
[27, 92, 114, 144]
[13, 27, 28, 130]
[27, 28, 36, 130]
[9, 27, 93, 130]
[9, 27, 118, 130]
[9, 27, 128, 130]
[9, 27, 38, 130]
[9, 27, 119, 130]
[27, 65, 128, 130]
[27, 28, 65, 130]
[9, 27, 113, 128]
[9, 27, 90, 128]
[9, 27, 38, 90]
[9, 27, 90, 119]
[9, 27, 113, 119]
[9, 27, 90, 118]
[9, 27, 38, 118]
[1, 29, 91, 111]
[21, 41, 141, 148]
[26, 100, 144, 153]
[15, 20, 151, 153]
[20, 28, 149, 155]
[20, 73, 149, 155]
[20, 128, 149, 155]
[8, 10, 20, 155]
[8, 10, 20, 26]
[20, 25, 83, 117]
[20, 25, 83, 149]
[5, 20, 83, 149]
[5, 20, 131, 149]
[5, 20, 28, 149]
[20, 28, 131, 149]
[20, 73, 131, 149]
[20, 83, 149, 155]
[5, 20, 83, 155]
[5, 50, 66, 102]
[50, 66, 69, 102]
[28, 50, 66, 102]
[50, 66, 102, 157]
[16, 50, 66, 102]
[2, 50, 66, 102]
[2, 50, 66, 69]
[2, 50, 66, 88]
[46, 50, 66, 102]
[17, 102, 116, 146]
[17, 39, 115, 141]
[17, 63, 115, 141]
[17, 96, 115, 141]
[17, 39, 96, 141]
[17, 48, 96, 141]
[17, 48, 141, 147]
[17, 63, 141, 147]
[17, 90, 141, 147]
[17, 48, 63, 141]
[17, 63, 65, 141]
[17, 65, 141, 147]
[17, 39, 81, 92]
[17, 48, 92, 147]
[17, 92, 94, 147]
[17, 92, 94, 132]
[17, 141, 146, 147]
[17, 39, 141, 146]
[17, 39, 92, 136]
[34, 88, 92, 97]
[34, 63, 88, 97]
[44, 60, 121, 157]
[101, 124, 141, 149]
[101, 124, 127, 149]
[61, 101, 127, 149]
[45, 61, 101, 149]
[61, 101, 128, 149]
[61, 96, 101, 149]
[101, 127, 141, 149]
[101, 127, 149, 157]
[101, 125, 127, 149]
[101, 127, 133, 149]
[101, 106, 127, 149]
[48, 114, 127, 144]
[92, 114, 127, 144]
[15, 84, 142, 159]
[1, 14, 15, 84]
[1, 15, 39, 84]
[84, 88, 113, 126]
[54, 113, 133, 156]
[6, 113, 115, 156]
[52, 113, 136, 156]
[52, 76, 113, 156]
[35, 52, 139, 147]
[35, 52, 70, 139]
[2, 35, 64, 132]
[35, 64, 112, 145]
[35, 112, 136, 145]
[35, 51, 99, 112]
[35, 99, 112, 150]
[35, 51, 112, 136]
[35, 51, 106, 112]
[35, 64, 106, 112]
[17, 39, 64, 93]
[39, 64, 92, 93]
[30, 62, 93, 143]
[17, 30, 62, 93]
[30, 93, 128, 143]
[19, 30, 62, 93]
[75, 114, 120, 156]
[114, 120, 128, 156]
[5, 30, 55, 128]
[5, 31, 94, 135]
[5, 94, 97, 135]
[5, 16, 97, 135]
[5, 31, 125, 135]
[5, 31, 125, 128]
[31, 51, 125, 128]
[31, 51, 125, 136]
[16, 31, 102, 130]
[31, 102, 128, 130]
[22, 31, 125, 149]
[22, 31, 51, 125]
[22, 51, 125, 142]
[22, 51, 125, 136]
[22, 51, 125, 128]
[22, 51, 125, 159]
[22, 26, 51, 125]
[22, 51, 69, 125]
[22, 51, 121, 125]
[22, 51, 125, 154]
[22, 51, 118, 125]
[31, 51, 125, 132]
[31, 51, 102, 106]
[51, 102, 106, 140]
[46, 51, 102, 106]
[51, 102, 106, 142]
[49, 102, 141, 158]
[49, 77, 141, 158]
[58, 77, 105, 128]
[58, 77, 105, 136]
[105, 144, 152, 153]
[46, 144, 152, 153]
[71, 144, 145, 153]
[105, 144, 145, 153]
[100, 144, 145, 153]
[40, 144, 145, 153]
[102, 144, 145, 153]
[2, 144, 145, 153]
[12, 144, 145, 153]
[71, 105, 144, 145]
[71, 136, 144, 145]
[57, 105, 144, 145]
[90, 93, 125, 128]
[80, 93, 125, 128]
[81, 125, 128, 159]
[46, 49, 92, 93]
[41, 71, 92, 139]
[41, 71, 80, 139]
[31, 40, 58, 157]
[31, 58, 110, 157]
[71, 73, 107, 110]
[55, 71, 107, 110]
[31, 39, 81, 110]
[31, 39, 55, 110]
[31, 39, 110, 128]
[16, 31, 39, 110]
[31, 39, 105, 110]
[31, 39, 81, 140]
[31, 39, 77, 140]
[31, 39, 128, 140]
[31, 39, 105, 140]
[31, 39, 55, 81]
[31, 39, 81, 128]
[31, 39, 53, 81]
[31, 39, 53, 136]
[15, 31, 39, 136]
[15, 31, 39, 128]
[15, 31, 39, 94]
[15, 21, 31, 74]
[15, 21, 74, 105]
[21, 48, 95, 105]
[21, 48, 94, 95]
[21, 94, 95, 103]
[21, 76, 95, 103]
[15, 21, 56, 74]
[15, 21, 40, 56]
[8, 40, 80, 158]
[94, 95, 143, 159]
[95, 128, 143, 159]
[95, 123, 143, 159]
[25, 95, 143, 159]
[25, 95, 128, 159]
[95, 123, 150, 159]
[35, 83, 97, 123]
[35, 83, 132, 138]
[11, 35, 132, 138]
[35, 96, 97, 103]
[11, 35, 96, 103]
[14, 44, 116, 124]
[14, 108, 111, 119]
[14, 83, 90, 119]
[14, 83, 111, 119]
[14, 111, 116, 119]
[14, 19, 83, 119]
[83, 97, 123, 143]
[83, 85, 123, 143]
[18, 83, 85, 123]
[20, 116, 128, 149]
[30, 116, 128, 149]
[19, 62, 88, 126]
[19, 30, 62, 126]
[55, 80, 83, 88]
[88, 97, 146, 150]
[85, 88, 146, 150]
[62, 88, 146, 150]
[11, 88, 146, 150]
[76, 97, 146, 150]
[76, 85, 146, 150]
[83, 85, 88, 111]
[83, 85, 111, 143]
[40, 83, 88, 111]
[18, 40, 83, 88]
[11, 83, 90, 109]
[62, 65, 116, 131]
[62, 65, 116, 152]
[44, 65, 116, 152]
[7, 65, 83, 149]
[7, 65, 128, 149]
[7, 17, 65, 126]
[7, 17, 111, 126]
[17, 44, 116, 124]
[17, 62, 116, 124]
[4, 18, 23, 121]
[4, 23, 121, 143]
[4, 23, 85, 121]
[4, 23, 138, 139]
[4, 23, 139, 152]
[7, 55, 83, 89]
[7, 83, 89, 111]
